# frequency [Hz], ASD [V/sqrt(Hz)]
1.034563005133201, 5.995390222984676e-8
1.0731675353206385, 5.995390222984676e-8
1.742804834071129, 5.995390222984676e-8
1.827422301101909, 5.995390222984676e-8
1.9161481545605488, 5.995390222984676e-8
2.0091818667266237, 5.995390222984676e-8
2.1067325947501625, 6.156683689381029e-8
2.209019650875959, 7.28573795415584e-8
2.290461402718355, 8.479309605489193e-8
2.9869496363613672, 8.898672618119712e-8
3.124482936976243, 1.0135255860491753e-7
3.258190965941248, 1.1318074614065349e-7
3.9357293156482474, 9.543846483705125e-8
4.091397920099586, 9.543846483705125e-8
4.725786963504398, 1.3683712121212202e-7
4.871704780804795, 1.4866530874785798e-7
5.55612328656244, 1.341488967721828e-7
6.291984303872408, 1.8414987135506247e-7
7.012144613521511, 1.6837895464074786e-7
7.720672627026671, 2.07806246426531e-7
8.445144683796892, 2.0949598750306326e-7
9.140471586470314, 2.4624785591766864e-7
9.835348805568309, 2.432908090337321e-7
10.537536622483668, 2.8173241852487313e-7
11.265552890033897, 2.7995819039451324e-7
11.914788617160752, 3.024317467124085e-7
12.710535241939368, 3.189912092624341e-7
13.35641548372104, 3.571371140651818e-7
14.095738517590917, 3.509273156089222e-7
14.75890220594528, 3.793149656946838e-7
15.578095571892984, 3.8286342195540356e-7
16.461667609781554, 4.147995283018883e-7
17.305617197458485, 4.467356346483696e-7
18.177158357926224, 4.609294596912521e-7
19.175059571798457, 4.857686535162973e-7
20.028214624550635, 5.123820754716989e-7
21.319833928062344, 5.425439536878238e-7
22.792776464554358, 5.833512006861079e-7
24.13751808582319, 6.099646226415096e-7
25.605704330881377, 6.543203259005169e-7
26.964894423013153, 6.853693181818183e-7
28.703860117500284, 7.341605917667253e-7
30.06509021211031, 7.60774013722127e-7
31.660991352234966, 7.962585763293315e-7
33.435144041335775, 8.548081046312179e-7
35.187176656115994, 9.071478344768447e-7
37.21501962528658, 9.426323970840492e-7
38.64530973482608, 9.884666237850196e-7
41.22629339917079, 0.000001047607561463696
43.274535274910555, 0.0000011023129288164694
45.719164515335514, 0.0000011599753430531758
48.60470551056309, 0.0000012380413807890243
51.3615096719413, 0.0000013125589622641497
54.087857448238935, 0.000001377318289022299
56.897582978057955, 0.0000014571585548885075
59.66010076413181, 0.0000015236921097770168
62.840491334376956, 0.0000016035323756432252
66.29034864144934, 0.0000016886953259005132
69.80914210688641, 0.0000017703098198970883
73.26167304691869, 0.0000018696665951972555
77.01762051385272, 0.0000019702061892510027
81.28080781355456, 0.0000020737028301886796
85.04372203452267, 0.0000021748338336192134
89.7125064385194, 0.0000022848359777015467
94.71921456753462, 0.00000241714270399412
100.17789899633344, 0.000002547421740994857
104.36486941866941, 0.0000026621551600914835
109.47921684669315, 0.0000028029105917667248
115.1344761892749, 0.00000293420347341338
122.07936594325659, 0.0000031049729309605512
128.90630460177948, 0.0000032831350057175553
134.99036550443105, 0.000003436310034305319
140.51116078496264, 0.0000035699685534591176
148.47165358080272, 0.0000037731599179122756
155.48872438109794, 0.000003951965246374552
163.10837036019714, 0.000004124710548885077
170.2187499600305, 0.000004306273227558606
177.07851342372194, 0.00000449995979845626
185.42857258672018, 0.000004704629686351385
193.85382007436846, 0.000004910989315323045
